year,city,country,avg_temp
1973,Riyadh,Saudi Arabia,25.60
1974,Riyadh,Saudi Arabia,25.40
1975,Riyadh,Saudi Arabia,25.04
1976,Riyadh,Saudi Arabia,24.97
1977,Riyadh,Saudi Arabia,25.99
1978,Riyadh,Saudi Arabia,25.95
1979,Riyadh,Saudi Arabia,26.20
1980,Riyadh,Saudi Arabia,25.83
1981,Riyadh,Saudi Arabia,25.95
1982,Riyadh,Saudi Arabia,24.62
1983,Riyadh,Saudi Arabia,24.85
1984,Riyadh,Saudi Arabia,25.05
1985,Riyadh,Saudi Arabia,25.30
1986,Riyadh,Saudi Arabia,25.36
1987,Riyadh,Saudi Arabia,26.37
1988,Riyadh,Saudi Arabia,25.99
1989,Riyadh,Saudi Arabia,25.05
1990,Riyadh,Saudi Arabia,25.70
1991,Riyadh,Saudi Arabia,25.43
1992,Riyadh,Saudi Arabia,24.37
1993,Riyadh,Saudi Arabia,25.42
1994,Riyadh,Saudi Arabia,26.08
1995,Riyadh,Saudi Arabia,25.64
1996,Riyadh,Saudi Arabia,26.28
1997,Riyadh,Saudi Arabia,25.49
1998,Riyadh,Saudi Arabia,26.73
1999,Riyadh,Saudi Arabia,26.92
2000,Riyadh,Saudi Arabia,26.55
2001,Riyadh,Saudi Arabia,26.67
2002,Riyadh,Saudi Arabia,26.44
2003,Riyadh,Saudi Arabia,26.62
2004,Riyadh,Saudi Arabia,26.20
2005,Riyadh,Saudi Arabia,26.27
2006,Riyadh,Saudi Arabia,26.24
2007,Riyadh,Saudi Arabia,26.49
2008,Riyadh,Saudi Arabia,26.21
2009,Riyadh,Saudi Arabia,26.71
2010,Riyadh,Saudi Arabia,27.37
2011,Riyadh,Saudi Arabia,26.40
2012,Riyadh,Saudi Arabia,26.83
2013,Riyadh,Saudi Arabia,27.78
